company,ticker,date,price
Alphabet,GOOG,2008-03-07,216.46
Alphabet,GOOG,2008-03-06,216.13
Alphabet,GOOG,2008-03-05,223.63
Alphabet,GOOG,2008-03-04,222.08
Alphabet,GOOG,2008-03-03,228.28
Alphabet,GOOG,2008-02-29,235.35
Alphabet,GOOG,2008-02-28,237.46
Alphabet,GOOG,2008-02-27,236.19
Alphabet,GOOG,2008-02-26,231.86
Alphabet,GOOG,2008-02-25,242.98
Alphabet,GOOG,2008-02-22,253.65
Alphabet,GOOG,2008-02-21,251.18
Alphabet,GOOG,2008-02-20,254.25
Alphabet,GOOG,2008-02-19,254.22
Alphabet,GOOG,2008-02-15,264.56
Alphabet,GOOG,2008-02-14,265.86
Alphabet,GOOG,2008-02-13,267.04
Alphabet,GOOG,2008-02-12,258.79
Alphabet,GOOG,2008-02-11,260.32
Alphabet,GOOG,2008-02-08,258.09
Alphabet,GOOG,2008-02-07,252.22
Alphabet,GOOG,2008-02-06,250.6
Alphabet,GOOG,2008-02-05,253.15
Alphabet,GOOG,2008-02-04,247.47
Alphabet,GOOG,2008-02-01,257.69
Alphabet,GOOG,2008-01-31,281.87
Alphabet,GOOG,2008-01-30,273.86
Alphabet,GOOG,2008-01-29,274.98
Alphabet,GOOG,2008-01-28,277.71
Alphabet,GOOG,2008-01-25,282.92
Alphabet,GOOG,2008-01-24,286.96
Alphabet,GOOG,2008-01-23,274.04
Alphabet,GOOG,2008-01-22,291.88
Alphabet,GOOG,2008-01-18,299.82
Alphabet,GOOG,2008-01-17,300.09
Alphabet,GOOG,2008-01-16,307.67
Alphabet,GOOG,2008-01-15,318.51
Alphabet,GOOG,2008-01-14,326.58
Alphabet,GOOG,2008-01-11,318.81
Alphabet,GOOG,2008-01-10,323.04
Alphabet,GOOG,2008-01-09,326.27
Alphabet,GOOG,2008-01-08,315.52
Alphabet,GOOG,2008-01-07,324.3
Alphabet,GOOG,2008-01-04,328.17
Alphabet,GOOG,2008-01-03,342.32
Alphabet,GOOG,2008-01-02,342.25
Alphabet,GOOG,2007-12-31,345.39
Alphabet,GOOG,2007-12-28,350.91
Alphabet,GOOG,2007-12-27,350.02
Alphabet,GOOG,2007-12-26,355.06
Alphabet,GOOG,2007-12-24,350.01
Alphabet,GOOG,2007-12-21,348
Alphabet,GOOG,2007-12-20,344.5
Alphabet,GOOG,2007-12-19,338.35
Alphabet,GOOG,2007-12-18,336.34
Alphabet,GOOG,2007-12-17,334.28
Alphabet,GOOG,2007-12-14,344.64
Alphabet,GOOG,2007-12-13,346.68
Alphabet,GOOG,2007-12-12,349.33
Alphabet,GOOG,2007-12-11,349.25
Alphabet,GOOG,2007-12-10,358.85
Alphabet,GOOG,2007-12-07,357.08
Alphabet,GOOG,2007-12-06,357.27
Alphabet,GOOG,2007-12-05,348.91
Alphabet,GOOG,2007-12-04,341.74
Alphabet,GOOG,2007-12-03,340.42
Alphabet,GOOG,2007-11-30,346.15
Alphabet,GOOG,2007-11-29,348.15
Alphabet,GOOG,2007-11-28,345.78
Alphabet,GOOG,2007-11-27,336.45
Alphabet,GOOG,2007-11-26,332.7
Alphabet,GOOG,2007-11-23,338.01
Alphabet,GOOG,2007-11-21,329.93
Alphabet,GOOG,2007-11-20,323.95
Alphabet,GOOG,2007-11-19,312.61
Alphabet,GOOG,2007-11-16,316.5
Alphabet,GOOG,2007-11-15,314.51
Alphabet,GOOG,2007-11-14,320.52
Alphabet,GOOG,2007-11-13,329.94
